id,exp_years,diplomes,certifications,hard_skills,soft_skills,langues,localisation,mobilite,disponibilite,full_text
1,5,Licence Informatique,Microsoft Azure Administrator,"['Flask', 'Hadoop', 'JavaScript', 'Docker', 'NoSQL']","['Leadership', 'Esprit critique', 'Résolution de problèmes']","['Français', 'Anglais']","Montréal, Canada",Mobile,Dans 1 mois,"Expériences: Développeur à FinTechX (2019-2022). Diplômes: Licence Informatique. Certifications: Microsoft Azure Administrator. Compétences techniques: Flask, Hadoop, JavaScript, Docker, NoSQL. Compétences comportementales: Leadership, Esprit critique, Résolution de problèmes. Langues: Français, Anglais. Localisation: Montréal, Canada. Mobilité: Mobile. Disponibilité: Dans 1 mois."
2,5,Diplôme d’ingénieur Logiciel,Microsoft Azure Administrator,"['Azure', 'Node.js', 'PyTorch', 'Flask', 'Hadoop']","['Travail en équipe', 'Communication', 'Créativité']","['Anglais', 'Allemand']","Abidjan, Côte d’Ivoire",Pas mobile,Dans 3 mois,"Expériences: Développeur chez HealthAI (2017-2018). Diplômes: Diplôme d’ingénieur Logiciel. Certifications: Microsoft Azure Administrator. Compétences techniques: Azure, Node.js, PyTorch, Flask, Hadoop. Compétences comportementales: Travail en équipe, Communication, Créativité. Langues: Anglais, Allemand. Localisation: Abidjan, Côte d’Ivoire. Mobilité: Pas mobile. Disponibilité: Dans 3 mois."
3,6,Master Data Science,Google Data Engineer,"['PyTorch', 'Pandas', 'TensorFlow', 'Numpy', 'AWS']","['Travail en équipe', 'Communication', 'Adaptabilité']","['Français', 'Espagnol']","Montréal, Canada",Ouvert au télétravail,Dans 3 mois,"Expériences: Data Scientist chez HealthAI (2017-2021). Diplômes: Master Data Science. Certifications: Google Data Engineer. Compétences techniques: PyTorch, Pandas, TensorFlow, Numpy, AWS. Compétences comportementales: Travail en équipe, Communication, Adaptabilité. Langues: Français, Espagnol. Localisation: Montréal, Canada. Mobilité: Ouvert au télétravail. Disponibilité: Dans 3 mois."
4,4,Master Data Science,Aucune,"['Hadoop', 'PyTorch', 'Kubernetes', 'TensorFlow', 'Docker']","['Créativité', 'Travail en équipe', 'Résolution de problèmes']","['Allemand', 'Espagnol']","Montréal, Canada",Ouvert au télétravail,Dans 3 mois,"Expériences: Data Scientist à StartDev (2017-2021). Diplômes: Master Data Science. Certifications: Aucune. Compétences techniques: Hadoop, PyTorch, Kubernetes, TensorFlow, Docker. Compétences comportementales: Créativité, Travail en équipe, Résolution de problèmes. Langues: Allemand, Espagnol. Localisation: Montréal, Canada. Mobilité: Ouvert au télétravail. Disponibilité: Dans 3 mois."
5,6,PhD en Intelligence Artificielle,Scrum Master,"['Node.js', 'Pandas', 'Django', 'Spark', 'Kubernetes']","['Travail en équipe', 'Adaptabilité', 'Créativité']","['Anglais', 'Allemand']","Dakar, Sénégal",Pas mobile,Immédiate,"Expériences: Data Engineer à BigDataCorp (2015-2018). Diplômes: PhD en Intelligence Artificielle. Certifications: Scrum Master. Compétences techniques: Node.js, Pandas, Django, Spark, Kubernetes. Compétences comportementales: Travail en équipe, Adaptabilité, Créativité. Langues: Anglais, Allemand. Localisation: Dakar, Sénégal. Mobilité: Pas mobile. Disponibilité: Immédiate."
6,1,MBA Management Digital,Microsoft Azure Administrator,"['AWS', 'React', 'Docker', 'Node.js', 'TensorFlow']","['Travail en équipe', 'Esprit critique', 'Leadership']","['Anglais', 'Espagnol']","Casablanca, Maroc",Ouvert au télétravail,Dans 1 mois,"Expériences: Data Scientist chez StartDev (2014-2022). Diplômes: MBA Management Digital. Certifications: Microsoft Azure Administrator. Compétences techniques: AWS, React, Docker, Node.js, TensorFlow. Compétences comportementales: Travail en équipe, Esprit critique, Leadership. Langues: Anglais, Espagnol. Localisation: Casablanca, Maroc. Mobilité: Ouvert au télétravail. Disponibilité: Dans 1 mois."
7,5,Licence Informatique,Aucune,"['Spark', 'Pandas', 'Numpy', 'Azure', 'TensorFlow']","['Travail en équipe', 'Adaptabilité', 'Communication']","['Espagnol', 'Français']","Casablanca, Maroc",Ouvert au télétravail,Immédiate,"Expériences: Développeur chez CloudOps (2019-2018). Diplômes: Licence Informatique. Certifications: Aucune. Compétences techniques: Spark, Pandas, Numpy, Azure, TensorFlow. Compétences comportementales: Travail en équipe, Adaptabilité, Communication. Langues: Espagnol, Français. Localisation: Casablanca, Maroc. Mobilité: Ouvert au télétravail. Disponibilité: Immédiate."
8,9,Diplôme d’ingénieur Logiciel,AWS Certified Solutions Architect,"['TensorFlow', 'GCP', 'Numpy', 'Node.js', 'Django']","['Leadership', 'Créativité', 'Gestion du temps']","['Anglais', 'Français']","Dakar, Sénégal",Mobile,Immédiate,"Expériences: Data Engineer à FinTechX (2014-2018). Diplômes: Diplôme d’ingénieur Logiciel. Certifications: AWS Certified Solutions Architect. Compétences techniques: TensorFlow, GCP, Numpy, Node.js, Django. Compétences comportementales: Leadership, Créativité, Gestion du temps. Langues: Anglais, Français. Localisation: Dakar, Sénégal. Mobilité: Mobile. Disponibilité: Immédiate."
9,7,MBA Management Digital,Google Data Engineer,"['GCP', 'Hadoop', 'Numpy', 'SQL', 'Flask']","['Résolution de problèmes', 'Gestion du temps', 'Adaptabilité']","['Espagnol', 'Allemand']","Abidjan, Côte d’Ivoire",Pas mobile,Dans 3 mois,"Expériences: Ingénieur Logiciel chez HealthAI (2015-2022). Diplômes: MBA Management Digital. Certifications: Google Data Engineer. Compétences techniques: GCP, Hadoop, Numpy, SQL, Flask. Compétences comportementales: Résolution de problèmes, Gestion du temps, Adaptabilité. Langues: Espagnol, Allemand. Localisation: Abidjan, Côte d’Ivoire. Mobilité: Pas mobile. Disponibilité: Dans 3 mois."
10,5,PhD en Intelligence Artificielle,Microsoft Azure Administrator,"['Kubernetes', 'Pandas', 'Spark', 'Java', 'Django']","['Communication', 'Adaptabilité', 'Résolution de problèmes']","['Français', 'Espagnol']","Montréal, Canada",Ouvert au télétravail,Immédiate,"Expériences: Data Scientist à HealthAI (2017-2020). Diplômes: PhD en Intelligence Artificielle. Certifications: Microsoft Azure Administrator. Compétences techniques: Kubernetes, Pandas, Spark, Java, Django. Compétences comportementales: Communication, Adaptabilité, Résolution de problèmes. Langues: Français, Espagnol. Localisation: Montréal, Canada. Mobilité: Ouvert au télétravail. Disponibilité: Immédiate."
11,1,Diplôme d’ingénieur Logiciel,AWS Certified Solutions Architect,"['NoSQL', 'PyTorch', 'Docker', 'Python', 'Java']","['Gestion du temps', 'Travail en équipe', 'Créativité']","['Allemand', 'Espagnol']","Casablanca, Maroc",Pas mobile,Dans 1 mois,"Expériences: Data Engineer à HealthAI (2017-2019). Diplômes: Diplôme d’ingénieur Logiciel. Certifications: AWS Certified Solutions Architect. Compétences techniques: NoSQL, PyTorch, Docker, Python, Java. Compétences comportementales: Gestion du temps, Travail en équipe, Créativité. Langues: Allemand, Espagnol. Localisation: Casablanca, Maroc. Mobilité: Pas mobile. Disponibilité: Dans 1 mois."
12,2,Diplôme d’ingénieur Logiciel,Microsoft Azure Administrator,"['JavaScript', 'AWS', 'Hadoop', 'GCP', 'PyTorch']","['Travail en équipe', 'Leadership', 'Gestion du temps']","['Espagnol', 'Français']","Casablanca, Maroc",Pas mobile,Immédiate,"Expériences: Développeur à FinTechX (2019-2022). Diplômes: Diplôme d’ingénieur Logiciel. Certifications: Microsoft Azure Administrator. Compétences techniques: JavaScript, AWS, Hadoop, GCP, PyTorch. Compétences comportementales: Travail en équipe, Leadership, Gestion du temps. Langues: Espagnol, Français. Localisation: Casablanca, Maroc. Mobilité: Pas mobile. Disponibilité: Immédiate."
13,3,Licence Informatique,AWS Certified Solutions Architect,"['Scikit-learn', 'PyTorch', 'GCP', 'Azure', 'Java']","['Leadership', 'Adaptabilité', 'Créativité']","['Allemand', 'Français']","Dakar, Sénégal",Mobile,Dans 3 mois,"Expériences: Data Scientist chez CloudOps (2019-2018). Diplômes: Licence Informatique. Certifications: AWS Certified Solutions Architect. Compétences techniques: Scikit-learn, PyTorch, GCP, Azure, Java. Compétences comportementales: Leadership, Adaptabilité, Créativité. Langues: Allemand, Français. Localisation: Dakar, Sénégal. Mobilité: Mobile. Disponibilité: Dans 3 mois."
14,10,MBA Management Digital,AWS Certified Solutions Architect,"['PyTorch', 'Scikit-learn', 'Python', 'AWS', 'SQL']","['Adaptabilité', 'Créativité', 'Esprit critique']","['Français', 'Espagnol']","Casablanca, Maroc",Ouvert au télétravail,Dans 3 mois,"Expériences: Data Engineer à BigDataCorp (2016-2023). Diplômes: MBA Management Digital. Certifications: AWS Certified Solutions Architect. Compétences techniques: PyTorch, Scikit-learn, Python, AWS, SQL. Compétences comportementales: Adaptabilité, Créativité, Esprit critique. Langues: Français, Espagnol. Localisation: Casablanca, Maroc. Mobilité: Ouvert au télétravail. Disponibilité: Dans 3 mois."
